often (2 words)|a menudo
the place, site|el sitio
to thank|agradecer
to learn|aprender
the amazement, surprise|el asombro
the children's home|el centro de menores tutelados
to tell (a story), relate|contar
the school year, course|el curso
the others (masculine)|los demás
the others (feminine)|las demás
to wait for, hope, expect|esperar
to be part of (literally: "to form part")|formar parte
to make the bed|hacer la cama
the language (starts with i)|el idioma
useless|inútil
the aim, purpose, objective (starts with p)|el propósito
to deliver, hand out (starts with r)|repartir
to be sleepy|tener sueño
the charity shop|la tienda solidaria
useful|útil
to walk (starts with a)|andar
the pocket|el bolsillo
to contribute (starts with c)|contribuir
about to be sick (the person about to be sick is the object of this expression)|dar asco
the drawing|el dibujo
to donate|donar
threatened (with extinction)|en vías de extinción
scarse (masculine)|escaso
scarse (feminine)|escasa
the exhibition|la exposición
winner (male)|el ganador
winner (female)|la ganadora
to win (starts with g)|ganar
to spend|gastar
the facilities|las instalaciones
the environment|el medio ambiente
the charity, charitable works|las obras benéficas
the loss|la pérdida
belonging to|perteneciente a
the politician (male)|el político
the politician (female)|la política
the resources|los recursos
HIV positive (male)|seropositivo
HIV positive (female)|seropositiva
the AIDS|el sida
to fear|temer
to fancy, feel like (I fancy)|apetecer (me apetece)
to pass an exam|aprobar
the cigarette|el cigarrillo
in moderation|con moderación
to get (starts with c)|conseguir
the advice (starts with c)|el consejo
to run|correr
the soft drug|la droga blanda
the hard drug|la droga dura
to take drugs (reflexive)|drogarse
the exercise|el ejercicio
to be on a diet|estar a dieta
the stress|el estrés
stressed (masculine)|estresado
stressed (feminine)|estresada
stressful, stressing|estresante
to smoke|fumar
to get up (reflexive)|levantarse
to keep fit (reflexive)|mantenerse en forma
to worry (reflexive)|preocuparse
to try, to taste, to have a go|probar
the recipe|la receta
to feel (emotions) (reflexive)|sentirse
to overcome (starts with s)|superar
to put up with, to bear (stats with a)|aguantar
disgusting (masculine)|asqueroso
disgusting (feminine)|asquerosa
the heart attack|el ataque cardiaco
to increase (starts with a)|aumentar
the drinking party in the street|el botellón
more and more|cada vez más
the brain|el cerebro
the consumption|el consumo
the heart|el corazón
as soon as possible|cuanto antes
the drug addict (male)|el drogadicto
the drug addict (female)|la drogadicta
the age|la edad
the survey (starts with e)|la encuesta
to face (starts with e)|enfrentar
serious (starts with g) (adjective ends in e)|grave
to injure, to harm (literally: to do harm)|hacer daño
the liver|el hígado
harmful (masculine)|nocivo
harmful (feminine)|nociva
to take part, participate|participar
to ask (for)|pedir
the first aid|los primeros auxilios
to prohibit, to forbid|prohibir
to cause, to provoke (starts with p)|provocar
the lung|el pulmón
to reduce (starts with r)|reducir
the withdrawal symptoms|el síndrome de abstinencia
the excess weight, obesity|el sobrepeso
to go up|subir
the addiction to tobacco|el tabaquismo
the sale (starts with v)|la venta
the sale (starts with r)|la rebaja
the food bank|el banco de alimentos
the rubbish|la basura
the light bulb|la bombilla
the low energy light bulb|la bombilla de bajo consumo
the fuel|el combustible
to fight, to combat|combatir
the air pollution|la contaminación atmosférica
to disappear|desparacer
the disaster|el desastre
to disconnect, unplug, switch off|desconectar
to undo|deshacer
the rubbish, refuse, waste|el desperdicio
the species|la especie
